%eval_id interface log__t_efold_soil log__t_efold_karst log__t_efold_deep f_exfiltration_soil f_exfiltration_karst PDD_melt_factor log__fdd_threshold snow_insulation_k recession_b_soil recession_b_karst et_scale       neg_kge        
64       I1         1.374139832    3.101491135    4.090689889    0.2689075142   0.5517586627   1.447753494    2.122740425    0.0006085640086 4.20391391     4.593983925    1.380707921    0.5163907588   
65       I1         1.807474017    2.814107756    4.120116877    0.6350235686   0.5109124987   8.050056009    2.300469598    0.1385494334   2.890572867    3.691596772    0.9417388234   0.2923890128   
66       I1         2.611398778    4.426915869    4.360553838    0.9105767505   0.367962828    5.682692331    1.773047415    0.0210907425   1.759292053    2.786670212    1.981726178    1.264063894    
67       I1         1.435738841    3.227980779    4.426272251    0.07903790755  0.04468927487  7.772486148    2.254110226    0.141569001    4.26657566     3.144888929    1.049005746    0.9717633741   
68       I1         2.560860465    4.382441872    4.153210517    0.05397155562  0.2956648772   5.385674145    0.121763921    0.07176619755  1.917025644    5.289939259    0.5752267873   1.123278233    
69       I1         1.921021649    3.851414134    4.923080038    0.3961759723   0.8435021733   7.662693208    2.603075954    0.1263437581   1.893778979    4.1462966      1.881861325    1.186149073    
70       I1         1.662142075    4.268194883    4.375696499    0.4156345467   0.2098740821   1.458145766    1.211480416    0.1189514087   3.183967148    2.528029374    0.7650188668   0.3330040816   
71       I1         1.201486251    3.718143008    4.287288904    0.8970061838   0.5953864639   9.301918015    0.6552940158   0.04869545587  3.870219644    4.063628148    1.095061829    0.5813398992   
72       I1         2.257081237    2.74267134     4.613278452    0.01128075689  0.4965381045   7.283779674    1.977756001    0.1151165196   4.289869126    1.765847019    1.461376656    1.258136066    
73       I1         2.207471669    4.257561411    4.365308257    0.9308505921   0.7065786773   3.289680331    1.256549383    0.1231832723   4.756157701    1.650343429    0.7356660545   0.5875604989   
74       I1         1.746500615    3.798781944    4.970312518    0.9033250825   0.4360470655   9.526076387    0.7715029838   0.03576297756  3.983319072    5.118442933    0.6618034259   0.7606758849   
75       I1         1.801323509    4.315529596    4.609254842    0.7218329044   0.1214055083   8.264963864    2.027227708    0.0288998143   3.819222078    2.313151307    0.8096676069   0.4011883431   
76       I1         1.124056614    4.19975252     3.781302474    0.7827888579   0.7943040718   1.040583558    0.4252164516   0.03492587567  3.11530867     4.374195795    1.572366306    0.5548191247   
77       I1         1.831380639    3.059449679    4.758476302    0.7740396554   0.4200881004   4.310346469    2.736910765    0.1495566483   4.95281684     4.395625354    1.479102387    0.9475619063   
78       I1         1.637441218    4.025314388    4.504594779    0.6602045533   0.3434151444   2.777260348    2.62893519     0.05660857013  2.019327078    5.425177008    0.6778631889   0.3785978834   
79       I1         2.690996676    3.942832914    4.75410312     0.8661838949   0.607010724    3.090635965    1.186216058    0.05984180384  3.683598829    3.558531116    0.9900184044   0.6583332117   
80       I1         1.673829551    3.603153875    4.868518716    0.6421091236   0.8887746462   7.789316642    2.65208089     0.06719876457  1.936239148    5.852693967    0.9092795019   0.2616254407   
81       I1         1.485629004    3.28918967     4.297313474    0.8287151901   0.07942275114  1.813236371    2.56643468     0.02394938466  1.801508024    3.117173516    1.276026708    0.3789508398   
82       I1         1.23030736     2.528528489    4.408522879    0.5699990112   0.05124040972  9.719304767    1.087077552    0.01050812032  2.23867086     3.264214057    1.721044053    0.5984800559   
83       I1         1.912023774    3.720919852    4.008842915    0.7065912886   0.220584488    9.199591692    1.54556948     0.1277969986   3.795841712    4.243529042    0.6170457165   0.6975405283   
84       I1         1.300299416    2.722733063    4.087229769    0.03599679946  0.4543216541   1.779648702    0.6419632918   0.1429483698   3.44168767     4.994300294    1.10353302     0.5434126318   
85       I1         1.067752423    3.15712189     4.070673926    0.5638427568   0.4023888976   6.827758737    0.5066924989   0.05136966188  3.156586779    5.998747148    1.789864849    0.4972366016   
86       I1         1.523985933    3.882876357    4.331852453    0.2674938073   0.4067010932   9.006293536    2.106068414    0.1377489606   5.205344928    1.902626198    1.562965013    0.8405578949   
87       I1         2.081827444    3.921315166    4.565531202    0.6646589952   0.2717204916   0.3257977483   2.828828885    0.05002195325  2.734056278    3.783001308    0.5660844337   0.5272450632   
88       I1         1.762583374    2.606103003    4.591197194    0.5788593947   0.9584592573   5.484717207    1.672633847    0.03014774302  5.409198995    1.984716398    1.565354304    0.8132667431   
89       I1         2.059382799    3.581341495    4.038351405    0.1493129      0.7724180491   5.436145523    0.7512556124   0.0854061307   4.548695714    2.686719637    1.014749714    0.5098991815   
90       I1         1.24206557     3.00061826     4.893438814    0.2345873294   0.3632845532   6.216627951    2.512066875    0.1167019711   3.724472208    2.83890239     0.7494076401   0.4460646212   
91       I1         1.309835618    2.561105748    4.402770533    0.7000810092   0.5788924596   4.410688445    0.7498366907   0.04131197187  4.068377911    5.826419938    1.915542246    0.7498581989   
92       I1         2.464753117    3.381479204    3.804527258    0.6297198519   0.949165208    1.57776624     1.821818187    0.1110283528   2.925947458    2.383857285    0.7792234582   0.4218066196   
93       I1         1.197608997    2.933302108    3.967477215    0.03765811168  0.2271843178   9.807148281    1.179332422    0.119433557    5.616863051    3.351430901    0.901397439    0.7623472508   
94       I1         1.419627759    2.671844913    4.665197178    0.3438077843   0.5735897937   9.121403494    1.291651612    0.1176652344   4.614813773    2.984865451    0.9265298018   0.3929262466   
95       I1         2.001021493    3.192119739    4.653403629    0.5837991308   0.836560833    5.939641469    2.857293454    0.02170608563  5.903267766    4.820042264    1.273845469    0.639564213    
96       I1         2.115755904    4.238652031    4.03340084     0.989453186    0.10346091     9.990094479    1.74120242     0.003624897103 5.82993812     4.48708915     1.619668374    0.7493540315   
97       I1         2.522802265    2.549476557    4.278421151    0.5006140939   0.6953665752   9.035347113    0.8059031511   0.08470807871  2.170858041    5.667122863    0.6659438229   0.668395458    
98       I1         2.152181115    3.633560877    4.79224147     0.3240121076   0.7761797963   6.043796498    2.766775179    0.1307452222   2.72012649     1.907853672    0.7442524555   0.6323948195   
99       I1         2.21752088     3.544451785    4.532068558    0.3513967573   0.8223547415   4.846555464    1.583885767    0.0184832782   3.356978587    1.702832975    0.5393038226   0.8525656961   
