%eval_id interface log__t_efold_soil log__t_efold_karst f_exfiltration_soil PDD_melt_factor log__H0_pdm_soil log__fdd_threshold snow_insulation_k recession_b_soil recession_b_karst baseflow_Q     neg_kge        
29       I1         2.401964074    3.409211214    0.4849303703   5.495130571    3.197354727    1.996634237    0.03320550532  3.450141632    2.971605978    0.01880553877  0.2627044267   
30       I1         1.45797065     2.684915637    0.6976976822   4.385849245    3.209174965    2.059132162    0.01423756624  3.978063229    1.945706644    0.1922630007   0.7812507158   
31       I1         1.54149263     3.316462098    0.5808768799   6.992921713    2.371240352    2.085900255    0.1217383955   2.672766012    3.152551333    0.2830852664   0.8727657165   
32       I1         1.6989671      2.58569609     0.4721197333   4.830118738    2.129330124    0.6400457287   0.1157933329   2.989953605    3.876391892    0.07275873532  0.5686776234   
33       I1         1.608026369    4.279106544    0.02875644145  4.001165434    3.43548336     2.931356019    0.06925048718  1.633351342    3.490061       0.3832567587   1.2966231      
34       I1         1.615453797    4.040173285    0.4627937077   0.5863888467   2.689011606    1.268531587    0.08588854384  2.374189532    2.202768358    0.4095441194   1.052023644    
35       I1         1.851278613    3.748178647    0.04744972561  8.978371301    2.064704255    1.032210426    0.1277342745   3.882472829    1.695370672    0.09820636496  0.66599334     
36       I1         2.242088596    4.009210003    0.5722285074   8.476879288    1.58042406     2.16871945     0.007965774779 3.161461078    2.382783059    0.06064705469  1.153835012    
37       I1         1.6059263      2.607015022    0.05864020858  7.634728321    2.193889339    2.46884217     0.02846677406  1.821232215    2.966469572    0.3660393019   1.054245058    
38       I1         1.905255055    3.970689271    0.9397456248   9.711192326    1.051082731    1.84108438     0.09683683881  2.276115201    1.845016808    0.4225089791   1.712495927    
39       I1         2.345442561    3.921315166    0.8883672173   7.228198565    2.579102672    1.921241774    0.07313301848  3.297410481    3.571177055    0.2764707272   0.7037852568   
40       I1         1.798367723    4.463382181    0.9822357883   0.2471027414   1.638446769    1.402177016    0.08606677491  2.311590931    1.96095461     0.1730280185   0.9989876493   
41       I1         2.010439953    4.434247581    0.7657031035   7.465140334    2.636519966    2.474231474    0.03819066617  1.789431211    2.804050708    0.116191207    0.4811726088   
