%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor baseflow_Q     neg_kge        
118      I1         0.7113794074   2.153882841    3.100025495    0.08532162429  0.1685791455   1.393663158    0.234747231    0.5688944604   
119      I1         0.3351591749   1.231727704    3.491418829    0.9805095429   0.5312512202   1.57776624     0.1374682286   0.6925183924   
120      I1         0.6957140961   1.74754868     3.549718539    0.2863724592   0.279182846    5.814931171    0.1105606589   0.1948058574   
121      I1         0.8535962471   1.930591487    4.469608268    0.507708016    0.3801969768   0.7424392947   0.09252385565  0.5170030875   
122      I1         1.182398971    1.623563135    3.21120112     0.8608480364   0.03786302582  3.991173488    0.1433977594   0.3562164245   
123      I1         1.3490471      2.364682212    3.151201792    0.7502022129   0.01958054421  6.953071345    0.1844111533   0.1091916283   
124      I1         1.359382799    2.50296565     3.992164059    0.7909367982   0.7594634673   1.059934205    0.1087077552   0.38592466     
125      I1         1.578140663    1.867335465    2.628772169    0.7134540686   0.9848527638   3.697353834    0.03434920695  0.8278511639   
126      I1         0.4859222711   2.673454282    4.266933182    0.6064637601   0.633732568    5.524604038    0.2359403291   0.2251635329   
127      I1         0.3734655823   1.542045094    4.478762658    0.6297198519   0.9622850424   1.779648702    0.1358344629   0.5624609064   
128      I1         1.151278613    1.693992783    3.584868323    0.1681824529   0.2602711335   8.264963864    0.1480537636   0.4160017415   
129      I1         1.88843912     1.186086906    3.496524632    0.5167904168   0.1597277525   9.773474863    0.245649262    0.4750072851   
130      I1         1.340856682    1.576814556    2.635728609    0.941346387    0.3331156004   6.104156355    0.2766775179   0.1665515179   
131      I1         1.953548078    1.162088808    4.196549783    0.2257529178   0.06784710513  8.861973182    0.009558385917 0.5145991199   
132      I1         1.144801891    2.529878567    4.292586158    0.7740396554   0.4435392042   7.256774185    0.05350325543  0.8629312155   
133      I1         0.36004142     1.740200609    3.903464658    0.4223373309   0.1479898162   3.585673627    0.007806310046 1.622599146    
134      I1         1.933004722    1.780657403    3.516151248    0.5316747404   0.871363053    7.187073331    0.1983086052   0.2968735894   
135      I1         1.948251375    2.024418459    3.647405117    0.9698528934   0.7282635288   3.745943433    0.2412721669   0.2870406729   
136      I1         1.784835303    2.044425839    3.156802105    0.5249688643   0.465508111    1.040583558    0.07095826756  0.2273702439   
137      I1         1.764753117    1.937680794    3.617691695    0.07083899011  0.3221937678   1.28832285     0.295442912    0.7228084389   
138      I1         1.600285292    2.27527896     4.172137493    0.1156888522   0.8435021733   8.296674237    0.04552364846  0.2663623651   
139      I1         0.4921449078   2.480325566    4.207658737    0.2089163743   0.3909964414   6.61131203     0.2099299549   0.4069043778   
140      I1         1.665250111    1.254938783    2.615440332    0.07903790755  0.5056121611   6.216627951    0.2841698822   0.4663905149   
141      I1         0.9445149779   1.051939886    3.246093392    0.9014394052   0.4023888976   9.273599008    0.174120242    0.3587965539   
142      I1         1.915915018    1.806078942    2.599265732    0.2605007178   0.5280954635   0.6846961195   0.05999280532  0.2843724779   
143      I1         0.3830346702   1.43332527     3.419812513    0.5146411477   0.9546232434   1.177112345    0.008128058462 1.97985776     
144      I1         1.024984263    2.353332986    3.068165516    0.768180211    0.5671904152   2.946877912    0.01593154956  1.515547536    
145      I1         1.428226823    2.23575481     2.895061716    0.3513967573   0.0890321183   7.465637508    0.2938218601   0.5027211105   
146      I1         1.628908169    1.371707752    2.93227432     0.06021600091  0.4874712745   3.161734854    0.07498366907  0.2262728177   
147      I1         0.4301140715   2.694562258    3.554404698    0.4257638904   0.7171644045   8.449250233    0.128403948    0.4186812239   
148      I1         1.881864559    2.664262274    2.925289364    0.2137834302   0.4326145925   3.665753972    0.2678897962   0.6273501299   
149      I1         1.956310536    2.6877406      2.851202478    0.8287151901   0.7113755041   9.807148281    0.1668531138   0.2211260913   
150      I1         0.4689079693   2.522935073    2.83496418     0.9125552918   0.3632845532   5.220264853    0.1651090912   0.5340775505   
151      I1         1.479476688    2.397986451    3.819235255    0.4476728921   0.537096675    0.5155318816   0.1038490201   0.1592473838   
152      I1         1.559430362    1.120258727    4.053596237    0.8487916483   0.4707808031   4.310346469    0.1291651612   0.2693756222   
153      I1         0.728718011    2.175444903    2.906036344    0.1985720714   0.757544596    9.548449799    0.2592730726   0.347888297    
154      I1         1.474533859    1.090187553    2.591160766    0.2944660222   0.320086903    7.534625544    0.2512066875   0.3521121696   
155      I1         0.6741398318   2.660330014    3.606658393    0.7968582963   0.3985872561   4.331382158    0.2614111344   0.202253978    
156      I1         0.8480205554   1.169199313    3.260898568    0.3240121076   0.7449829453   8.49266892     0.2328605118   0.1229291293   
157      I1         0.7724829562   1.206270639    3.938366512    0.9308505921   0.6396143959   9.442576294    0.2088774999   0.3154597815   
158      I1         0.6847636401   1.07842609     3.692109568    0.7156196559   0.1790726062   7.978424054    0.04321993705  1.228749894    
159      I1         0.5937185563   2.543200157    3.752344211    0.6853682706   0.04071712417  7.772486148    0.1963900448   0.3319409427   
160      I1         0.9657950803   1.461686529    4.02533537     0.282446083    0.827400762    2.389447736    0.1535236729   0.2042257504   
161      I1         0.5489412889   2.306006852    3.885662293    0.1397966434   0.7898699603   8.818446818    0.2914337417   0.4709620121   
