%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil f_tile_shallow log__tau_tile  neg_kge        
43       I1         1.361125029    2.035421557    0.09879715739  3.100769735    3.191303062    2.016803995    0.05730141372  0.2086553874   1.448752379    
44       I1         1.326528753    2.559012186    0.1879873966   1.619183891    3.2927213      2.795572217    0.9271167516   1.052402059    1.619364429    
45       I1         0.9080263691   2.007974284    0.2759104603   3.121569704    2.187171299    3.340151184    0.8751866938   0.9411202003   1.824631008    
46       I1         1.892783879    1.607062876    0.2134344194   6.239655006    2.064704255    2.100538919    0.5206718212   0.6916181112   1.605254588    
47       I1         1.381827444    2.309147292    0.8322045175   1.769414299    1.758632794    2.359777072    0.8034734106   0.1790005848   2.002916767    
48       I1         1.444278275    1.090187553    0.405330441    6.530355773    3.152439904    1.399783494    0.2191563351   0.7342106665   1.725683505    
49       I1         1.953548078    2.594591468    0.5129094329   2.389648818    1.676479829    2.393548079    0.9130358091   0.3953925173   1.910869134    
50       I1         0.4057035626   1.248939516    0.8200926539   0.7145979613   2.086854759    2.474656937    0.2520583967   0.09885230211  2.380090046    
51       I1         0.9657950803   1.213851171    0.7411603891   4.540892924    1.869697547    2.644270715    0.2232514741   0.5829521422   2.073819454    
52       I1         1.221021649    1.855932989    0.1339379517   1.35251921     3.276464541    2.850397985    0.8106425646   0.2681668693   1.823460017    
53       I1         1.205255055    2.186006007    0.1203424319   4.573291518    3.327675458    1.709292105    0.403103901    0.5031808905   1.592745363    
54       I1         1.628908169    2.306006852    0.01532336792  1.929713924    1.147569146    3.061859562    0.3914512991   0.8870516943   2.16192183     
55       I1         1.026046435    2.074017228    0.7712621563   7.906744585    2.574071343    2.9828641      0.008316845682 1.044309246    1.889901733    
56       I1         0.8313026433   2.493927199    0.3886177276   7.017982584    2.152339422    2.769016856    0.04018209392  1.108453612    1.510040055    
57       I1         1.488799289    2.318754595    0.2332132392   0.7974237599   3.197354727    2.137164775    0.7179293148   0.9988934977   1.46706142     
58       I1         0.6558687647   2.364682212    0.3645190706   0.6924157453   3.13509765     1.065220498    0.6844179941   0.7249530657   2.012270538    
59       I1         0.6881199015   1.637809805    0.7061470519   0.1129382584   1.003893925    1.533371441    0.3299761215   0.3480573461   2.431222878    
60       I1         1.915915018    2.381482366    0.6328426929   1.252806333    1.956814551    3.394876667    0.7684396891   1.115477059    1.625828648    
