Date,Precipitation [mm/day],Discharge [m^3/s],Mean Temperature [C],Minimum Temperature [C],Maximum Temperature [C],Photoperiod [hr],Evapotranspiration [mm/day]
1998.03.18,5.40835594659,23.163142399999998,-0.6587623785650001,-3.67089109138,2.35336633425,11.991132040438039,2.60623282156
1998.03.19,0.933326010436,22.370272,-0.5510891087935,-2.09613860952,0.993960391933,12.042045640362186,1.68944110958
1998.03.20,0.0,21.3508672,-1.4581188187749998,-6.82009901859,3.90386138104,12.092957940457861,0.916710352448
1998.03.21,0.0,20.388096,-0.9556930537250001,-6.58752473038,4.67613862293,12.14386300036242,0.262041157961
1998.03.22,0.304961196119,21.096016,0.17747524705499984,-4.70514851513,5.06009900924,12.194754920240296,0.374865886914
1998.03.23,0.0730060405734,21.5490848,2.0372277232650005,-1.67980197751,5.75425742404,12.245627826136607,0.471060926141
1998.03.24,0.0703873641623,23.078192,-0.6153960357800004,-5.67772277511,4.44693070355,12.296475855412895,0.421516547535
1998.03.25,0.26167246585,26.1080896,1.8370297146899999,-2.67673267173,6.35079210111,12.34729314226683,1.04600842795
1998.03.26,1.17929845174,33.98016,9.55668318155,4.628613878,14.4847524851,12.398073803337667,2.5284605982
1998.03.27,13.1541959815,48.13856,14.245396033375,9.23851484355,19.2522772232,12.4488119233993,3.17933735417
1998.03.28,26.7226675584,78.154368,11.63222772058,5.86871285486,17.3957425863,12.499501541142894,2.95660472505
1998.03.29,4.53649620136,122.045408,10.261237642560001,6.61336633002,13.9091089551,12.550136635051489,2.47816629424
1998.03.30,8.65072153346,161.40576,11.483217821244999,4.83178219229,18.1346534502,12.600711109369323,2.9946574963
1998.03.31,11.6365532922,166.502784,4.469158414565,2.47415841216,6.46415841697,12.651218780169287,1.73841334882
1998.04.01,19.57752749,205.013632,3.445495061855,0.84306930651,6.0479208172,12.701653361522602,1.30505702613
1998.04.02,3.54707378975,228.233408,3.5600990055070003,0.640495047324,6.47970296369,12.752008451775607,1.00984347494
1998.04.03,0.00568496419283,202.46511999999998,4.47673267687,1.79891089697,7.15455445677,12.8022775199396,0.791006957588
1998.04.04,0.00334339963254,176.130496,4.846138606007,-0.415346530386,10.1076237424,12.852453892200666,1.46593654784
1998.04.05,0.0,154.892896,6.4580693106985,0.641782175897,12.2743564455,12.902530738557683,1.7799599818
1998.04.06,3.21972843295,130.25728,9.647920783204999,4.93683165371,14.3590099127,12.952501059598017,2.49124526175
1998.04.07,4.88676822894,121.76223999999999,12.408613771485001,6.39445542817,18.4227721148,13.002357673421876,3.40025507804
1998.04.08,3.24310120247,105.055328,7.914900996905001,3.71831684301,12.1114851508,13.0520932027278,2.18410884883
1998.04.09,0.131983093152,98.25929599999999,6.9535643581099995,2.22504950492,11.6820792113,13.101700062073537,1.4435621292
1998.04.10,0.0,95.710784,5.77801979881,-1.78881188678,13.3448514844,13.151170445328253,1.76648746685
1998.04.11,0.306624962699,88.914752,8.976633665125,1.01405940345,16.9392079268,13.200496313334002,2.06835971705
1998.04.12,1.13662196644,84.100896,15.560693032665,9.32534650293,21.7960395624,13.249669381796318,3.11585220549
1998.04.13,1.58204209729,81.83555199999999,15.6538118655,10.1323762365,21.1752474945,13.298681109425962,2.86285383551
1998.04.14,0.00334339963254,75.605856,10.78683173657,4.73495050704,16.8387129661,13.347522686356022,2.57292434325
1998.04.15,4.70929320824,72.491008,10.03787129941,3.90287129242,16.1728713064,13.396185022860859,3.27742261923
1998.04.16,7.05166848978,70.508832,5.032326733525,1.18673267894,8.87792078811,13.44465873840578,2.01578570239
1998.04.17,0.0,71.075168,5.21405937255,-1.2096039596,11.6377227047,13.492934151058774,1.62326235557
