%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor baseflow_Q     neg_kge        
158      I1         0.7196277594   2.161198875    0.6663352558   7.319118968    0.04977137479  0.9490824914   
159      I1         1.069000019    1.806078942    0.8113882099   3.330466053    0.2249947792   0.2808357684   
160      I1         0.4976089969   1.67081122     0.5534769359   3.987217094    0.1020658605   0.658004585    
161      I1         1.098367723    1.654378836    0.9090711576   4.404323695    0.2748350872   0.3038372925   
162      I1         0.9080263691   2.37031698     0.1518104971   0.4668629691   0.1014679725   0.5377577143   
163      I1         1.990996676    1.283147972    0.2100086081   5.43170614     0.2819449405   0.7009310253   
164      I1         1.80468192     2.436423644    0.7373419219   7.228198565    0.2301529781   0.5252766967   
165      I1         1.764753117    2.422904768    0.2884011027   3.237467964    0.2359461855   0.7600692562   
166      I1         1.301021493    2.555003389    0.2512428279   9.762333124    0.08326234878  0.5608185301   
167      I1         0.7409346075   2.407301197    0.6759921798   4.001165434    0.09492456214  0.6507487109   
168      I1         1.382954783    1.457724002    0.2530511585   4.135522521    0.1784025813   0.4005123015   
169      I1         1.518732135    1.995419009    0.5685544666   7.860451058    0.1800678373   0.3959936372   
170      I1         0.9059262998   1.901955297    0.988718817    2.444885035    0.294291818    0.3750295761   
171      I1         0.5369019975   1.146068176    0.2580693034   3.367361355    0.21715592     0.3222717568   
172      I1         1.651440729    1.693992783    0.02875644145  2.96306762     0.1128795596   0.6438885895   
173      I1         1.459552999    2.477854227    0.1879873966   6.74857966     0.2226732022   0.7278517663   
174      I1         1.141522265    1.303784423    0.3792242899   3.026589051    0.04462317245  0.9215588856   
175      I1         1.365941496    2.447268904    0.5722285074   6.009977074    0.2200817661   0.3929704387   
176      I1         1.081726666    2.29651723     0.9271647848   7.906744585    0.2502247231   0.3099841665   
177      I1         0.5212860984   2.488531847    0.4302310682   1.879921363    0.0241935056   1.0170185      
178      I1         1.628908169    1.340093733    0.2965311055   4.356625167    0.01540349276  1.172381411    
179      I1         1.275950592    1.545416253    0.5821217126   7.290965054    0.08876398764  0.6074143418   
180      I1         0.4057035626   2.049813049    0.6236486632   9.473516053    0.1533405608   0.5617070504   
181      I1         1.931563387    2.204138346    0.200390285    6.960006401    0.1133256051   0.7579335389   
182      I1         1.101323509    1.605384842    0.7043578125   5.034623237    0.1201190503   0.4966763482   
183      I1         1.250014581    1.732391951    0.1838472716   4.880365191    0.2270339628   0.4426319078   
184      I1         1.682335925    2.27527896     0.6701648046   2.916113654    0.100437422    0.5020418374   
185      I1         1.373481817    1.149679854    0.6035682808   1.104796521    0.2582927885   0.3359083891   
186      I1         1.973053607    1.338449556    0.9323433641   4.892884515    0.2731757449   0.5773095882   
187      I1         1.479476688    1.930591487    0.8200926539   7.818359784    0.169666183    0.3563255989   
188      I1         0.8352697815   1.124789684    0.8975694465   5.302236487    0.1033206369   0.7338140547   
189      I1         0.9744128914   2.594591468    0.8812576073   6.769619037    0.1725274879   0.4104290932   
190      I1         0.8192857502   2.455724537    0.9706041785   5.085836127    0.1629893411   0.5447099023   
191      I1         1.79550917     1.299671974    0.9571056477   4.197736747    0.1243314246   0.4643420974   
192      I1         1.446335508    1.614103081    0.4743634524   5.757132868    0.09779642546  0.5543595751   
193      I1         1.722002096    1.496423881    0.4874378318   0.9466208609   0.229427592    0.491537014    
194      I1         1.72488636     2.106105563    0.7211783123   9.262183006    0.04123190324  0.7905857748   
195      I1         0.9931211435   2.074017228    0.1592680332   5.011605948    0.09017437801  0.5375761256   
196      I1         1.205255055    2.306006852    0.8413093938   0.7461396      0.1454839513   0.4187892835   
197      I1         0.5489412889   1.643923416    0.5079141114   1.144788363    0.0370963921   1.069575165    
198      I1         0.9989670997   1.346035666    0.4326552684   1.96484778     0.03410372704  1.04942245     
199      I1         1.683075573    1.855932989    0.6141247422   8.435953095    0.1759022912   0.4365097594   
200      I1         0.6996487793   2.372407311    0.4849303703   7.577552967    0.005658206501 1.399504917    
201      I1         0.4792202012   1.576814556    0.8386562516   9.154519875    0.2571707726   0.5132151376   
202      I1         0.7856290043   1.772829532    0.1282105867   2.317182403    0.1081483326   0.496357729    
203      I1         0.36004142     1.034365161    0.680704075    3.56941665     0.01811422234  1.624028665    
204      I1         1.062583374    1.266991593    0.6953625928   0.8260366477   0.1166315637   0.5716699722   
205      I1         0.872472806    2.016681234    0.09879715739  2.004962762    0.1043637057   0.5152443533   
206      I1         1.998319731    1.181177565    0.2089578086   8.284955499    0.1666744679   0.5867166041   
207      I1         1.557081237    1.720055247    0.1361219754   6.992921713    0.2680968676   0.6044028931   
208      I1         1.221021649    2.165513297    0.1048459823   7.956043475    0.05278412174  0.6876379599   
209      I1         0.3902345162   2.23575481     0.3645190706   4.190495188    0.01345321681  1.185323316    
210      I1         1.88843912     1.502985028    0.3617229176   5.056203602    0.2100411607   0.5780478205   
211      I1         0.5014862514   2.141465459    0.04744972561  1.287616446    0.06858646874  0.6127199363   
212      I1         0.6609580598   1.051939886    0.3290888779   7.373662739    0.2776554718   0.3374072205   
213      I1         1.359382799    2.35817213     0.8265532606   7.501175422    0.05175692027  0.8021298864   
214      I1         1.600285292    1.875005895    0.9286045323   6.543546026    0.0867882787   0.5952887697   
215      I1         1.832347989    1.046458867    0.9375802072   3.472139862    0.02057110449  1.027046615    
216      I1         1.005887567    1.972364014    0.7574143314   8.178379648    0.05894404274  0.8369111822   
217      I1         1.015064302    1.120258727    0.4643679895   5.332589335    0.08117757942  0.7126981481   
218      I1         1.498235502    1.975972814    0.833652634    0.5148381013   0.129371814    0.4537670825   
219      I1         0.460359321    1.740200609    0.5808768799   8.669905264    0.2922580032   0.3917197519   
220      I1         1.881864559    1.629118409    0.758768983    1.043329762    0.0644646392   0.6809218297   
221      I1         0.6218146609   2.381482366    0.959576483    5.279880397    0.2128942869   0.5371172513   
222      I1         1.775966423    2.668874854    0.9180832957   6.922597836    0.1595667001   0.4065952501   
223      I1         1.618362611    1.374843451    0.8542644272   7.071226522    0.2157323063   0.3577113138   
224      I1         1.212023774    1.648557062    0.01987104104  3.171506859    0.1732860913   0.4781474393   
225      I1         1.117992494    2.480325566    0.2134344194   9.105357257    0.1600889533   0.5497762796   
