%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__fdd_threshold snow_insulation_k baseflow_Q     neg_kge        
102      I1         1.315604476    2.126531714    0.09540675286  4.698557647    1.061894489    0.07891995966  0.2668773302   0.6071132971   
103      I1         1.395449208    2.035421557    0.7043578125   4.385849245    1.791999379    0.09544885754  0.2035511573   0.317956135    
104      I1         1.931563387    1.794869922    0.6328426929   7.290965054    2.270339628    0.05161052131  0.2728388239   0.6487549382   
105      I1         1.990996676    2.462764673    0.8099838296   8.075067109    0.9966243663   0.0005811479195 0.1868333832   0.541557228    
106      I1         1.740831827    1.802122459    0.9061313741   4.609512709    0.6965088724   0.01325407595  0.2165688921   0.3935068234   
107      I1         1.186805977    2.607205399    0.06535929282  5.448511551    1.338677313    0.1088451466   0.1240942534   0.6634948937   
108      I1         0.4240566145   1.173806576    0.2976878525   5.596082035    1.509554484    0.1366879317   0.1821818187   0.5454160496   
109      I1         1.911398778    1.511267464    0.6759921798   4.356625167    1.154613196    0.1165047976   0.1393814444   0.5070731051   
110      I1         1.444278275    1.850722746    0.9180832957   1.014452211    1.478880185    0.04921180996  0.09528779359  0.5887398272   
111      I1         1.618362611    2.590534515    0.791639623    2.701212951    2.690126468    0.0313898054   0.1758918474   0.3637840932   
112      I1         1.141522265    1.686736869    0.9571056477   3.615506423    0.8117757942   0.121146979    0.03667146442  1.082024342    
113      I1         1.434442838    1.545416253    0.892462806    6.644687215    0.7187808083   0.06531346128  0.2191356051   0.3057619596   
114      I1         0.9177023502   1.614103081    0.5685544666   4.830118738    2.42292224     0.05396369934  0.08059031511  0.6965224825   
115      I1         1.651440729    1.720055247    0.3106671615   8.669905264    2.903446706    0.09770083389  0.001710555688 1.416066988    
116      I1         0.3177406747   2.547458364    0.8615087911   5.722193126    0.7580305918   0.03744044134  0.1632950029   0.7904437576   
117      I1         0.7409346075   2.381482366    0.9397456248   4.678081359    1.490032122    0.02263404284  0.1269511844   0.7001588358   
118      I1         0.7113794074   2.153882841    0.3040124925   0.860902123    0.4854463637   0.01960095694  0.234747231    0.3991265961   
119      I1         0.3351591749   1.231727704    0.4957952261   9.904127015    1.595667001    0.02239039757  0.1374682286   0.7758382233   
120      I1         0.6957140961   1.74754868     0.5243620839   2.891925863    0.8240291205   0.08658986623  0.1105606589   0.6538769381   
121      I1         0.8535962471   1.930591487    0.9751080515   5.127866693    1.133256051    0.009733928708 0.09252385565  0.8028837212   
122      I1         1.182398971    1.623563135    0.358488549    8.695301592    0.08529497701  0.05895717406  0.1433977594   0.4484124828   
123      I1         1.3490471      2.364682212    0.3290888779   7.577552967    0.02932819657  0.1038344143   0.1844111533   0.4758992173   
124      I1         1.359382799    2.50296565     0.7411603891   7.989055411    2.29427592     0.01454445765  0.1087077552   0.5111904865   
125      I1         1.578140663    1.867335465    0.07309836296  7.206321713    2.984243154    0.05450536113  0.03434920695  0.8832177018   
126      I1         0.4859222711   2.673454282    0.8757972593   6.12550125     1.909385412    0.08219097028  0.2359403291   0.5667829805   
127      I1         0.3734655823   1.542045094    0.9795937024   6.360435239    2.915158293    0.02544922275  0.1358344629   0.8790090407   
128      I1         1.151278613    1.693992783    0.5415854781   1.697965596    0.766136123    0.1237115737   0.1480537636   0.4000029373   
129      I1         1.88843912     1.186086906    0.4982970698   5.219617476    0.4583502626   0.1465678009   0.245649262    0.5468648351   
130      I1         1.340856682    1.576814556    0.0765070186   9.508499215    0.9891293889   0.09097206599  0.2766775179   0.5072013213   
131      I1         1.953548078    1.162088808    0.8413093938   2.279544782    0.1770829749   0.1327571694   0.009558385917 1.126512191    
132      I1         1.144801891    2.529878567    0.8883672173   7.818359784    1.327160829    0.1084359725   0.05350325543  0.8942217266   
